eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,abstract,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,Course,Book
2-s2.0-0015231889,10.1126/science.171.3972.701,,5540314,Mental rotation of three-dimensional objects,ar,Article,Shepard R.,60012708,Stanford University,Stanford,United States,2,"Shepard, Roger N.;Metzler, Jacqueline",7102027293;7004194181,60012708;60012708,1971-01-01,1971,Science,00368075,23571,,Journal,171,3972,,701-703,The time required to recognize that two perspective drawings portray objects of the same three-dimensional shape is found to be (i) a linearly increasing function of the angular difference in the portrayed orientations of the two objects and (ii) no shorter for differences corresponding simply to a rigid rotation of one of the two-dimensional drawings in its own picture plane than for differences corresponding to a rotation of the three-dimensional object in depth.,,4261.0,0.0,,,NSF,GS-2283,National Science Foundation,Introduction to cognitive science,
2-s2.0-84902602980,10.1073/pnas.1320040111,,24889601,Experimental evidence of massive-scale emotional contagion through social networks,ar,Article,Kramer A.D.I.,60109024;60031970;60028072;60007776,"Facebook, Inc.;UCSF School of Medicine;Cornell University Department of Information Science;Cornell University",Menlo Park;San Francisco;Ithaca;Ithaca,United States;United States;United States;United States,3,"Kramer, Adam D.I.;Guillory, Jamie E.;Hancock, Jeffrey T.",14035847900;57213208660;7202389095,60109024;60031970;60007776-60028072,2014-01-01,2014,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,10916490,Journal,111,24,,8788-8790,"Emotional states can be transferred to others via emotional contagion, leading people to experience the same emotions without their awareness. Emotional contagion is well established in laboratory experiments, with people transferring positive and negative emotions to others. Data from a large real-world social network, collected over a 20-y period suggests that longer-lasting moods (e.g., depression, happiness) can be transferred through networks [Fowler JH, Christakis NA (2008) BMJ 337:a2338], although the results are controversial. In an experiment with people who use Facebook, we test whether emotional contagion occurs outside of in-person interaction between individuals by reducing the amount of emotional content in the News Feed. When positive expressions were reduced, people produced fewer positive posts and more negative posts; when negative expressions were reduced, the opposite pattern occurred. These results indicate that emotions expressed by others on Facebook influence our own emotions, constituting experimental evidence for massive-scale contagion via social networks. This work also suggests that, in contrast to prevailing assumptions, in-person interaction and nonverbal cues are not strictly necessary for emotional contagion, and that the observation of others' positive experiences constitutes a positive experience for people.",Big data | Computer-mediated communication | Social media,2074.0,1.0,repositoryvor,Green,NCI,R25CA113710,National Cancer Institute,Introduction to cognitive science,
2-s2.0-0034636105,10.1073/pnas.070039597,,10716738,Navigation-related structural change in the hippocampi of taxi drivers,ar,Article,Maguire E.,60019953;60012662,UCL Queen Square Institute of Neurology;UCL Great Ormond Street Institute of Child Health,London;London,United Kingdom;United Kingdom,7,"Maguire, Eleanor A.;Gadian, David G.;Johnsrude, Ingrid S.;Good, Catriona D.;Ashburner, John;Frackowiak, Richard S.J.;Frith, Christopher D.",7005945840;7006246597;7004003478;7006366725;7004536701;35400736400;36051252900,60019953;60012662;60019953;60019953;60019953;60019953;60019953,2000-04-11,11 April 2000,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,,Journal,97,8,,4398-4403,"Structural MRIs of the brains of humans with extensive navigation experience, licensed London taxi drivers, were analyzed and compared with those of control subjects who did not drive taxis. The posterior hippocampi of taxi drivers were significantly larger relative to those of control subjects. A more anterior hippocampal region was larger in control subjects than in taxi drivers. Hippocampal volume correlated with the amount of time spent as a taxi driver (positively in the posterior and negatively in the anterior hippocampus). These data are in accordance with the idea that the posterior hippocampus stores a spatial representation of the environment and can expand regionally to accommodate elaboration of this representation in people with a high dependence on navigational skills. It seems that there is a capacity for local plastic change in the structure of the healthy adult human brain in response to environmental demands.",,2227.0,0.0,repositoryvor,Green,,undefined,,Introduction to cognitive science,
2-s2.0-84858721401,10.1177/0963721412436807,,,Developing Cognitive Control: Three Key Transitions,ar,Article,Munakata Y.,60000221,University of Colorado Boulder,Boulder,United States,3,"Munakata, Yuko;Snyder, Hannah R.;Chatham, Christopher H.",57206398848;16308229000;26530913300,60000221;60000221;60000221,2012-04-01,April 2012,Current Directions in Psychological Science,09637214,13477,14678721,Journal,21,2,,71-77,"The ability to flexibly break out of routine behaviors develops gradually and is essential for success in life. In this article, we discuss three key developmental transitions toward more flexible behavior. First, children develop an increasing ability to overcome habits by engaging cognitive control in response to environmental signals. Second, children shift from recruiting cognitive control reactively, as needed in the moment, to recruiting cognitive control proactively, in preparation for needing it. Third, children shift from relying on environmental signals for engaging cognitive control to becoming more self-directed. All three transitions can be understood in terms of the development of increasingly active and abstract goal representations in the prefrontal cortex. © The Author(s) 2012.",endogenous control | executive function | perseveration | task switching,250.0,0.0,repositoryam,Green,NIH,P50-MH079485,National Institutes of Health,Introduction to cognitive science,
2-s2.0-78651383350,10.1177/1754073910380974,,,Emotion generation and emotion regulation: One or two depends on your point of view,re,Review,Gross J.J.,60028628;60012708,Northeastern University;Stanford University,Boston;Stanford,United States;United States,2,"Gross, James J.;Feldman Barrett, Lisa",7402751884;55663264200,60012708;60028628,2011-01-01,January 2011,Emotion Review,17540739,17500155105,,Journal,3,1,,8-16,"Emotion regulation has the odd distinction of being a wildly popular construct whose scientific existence is in considerable doubt. In this article, we discuss the confusion about whether emotion generation and emotion regulation can and should be distinguished from one another. We describe a continuum of perspectives on emotion, and highlight how different (often mutually incompatible) perspectives on emotion lead to different views about whether emotion generation and emotion regulation can be usefully distinguished. We argue that making differences in perspective explicit serves the function of allowing researchers with different theoretical commitments to collaborate productively despite seemingly insurmountable differences in terminology and methods. © 2011 The International Society for Research on Emotion.",emotion | emotion regulation,487.0,0.0,repositoryam,Green,NIA,R01AG030311,National Institute on Aging,Introduction to cognitive science,
2-s2.0-85147170529,10.1073/pnas.2208863120,,36716367,A discipline-wide investigation of the replicability of Psychology papers over the past two decades,ar,Article,Youyou W.,60138820;60123158;60007363;60006242,Kellogg School of Management Northwestern University;Mendoza College of Business;Northwestern University;UCL Institute of Education,Evanston;Notre Dame;Evanston;London,United States;United States;United States;United Kingdom,3,"Youyou, Wu;Yang, Yang;Uzzi, Brian",56495375200;58085068900;6603149512,60006242;60123158;60138820-60007363,2023-02-07,7 February 2023,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,10916490,Journal,120,6,e2208863120,,"Conjecture about the weak replicability in social sciences has made scholars eager to quantify the scale and scope of replication failure for a discipline. Yet small-scale manual replication methods alone are ill-suited to deal with this big data problem. Here, we conduct a discipline-wide replication census in science. Our sample (N = 14,126 papers) covers nearly all papers published in the six top-tier Psychology journals over the past 20 y. Using a validated machine learning model that estimates a paper’s likelihood of replication, we found evidence that both supports and refutes speculations drawn from a relatively small sample of manual replications. First, we find that a single overall replication rate of Psychology poorly captures the varying degree of replicability among subfields. Second, we find that replication rates are strongly correlated with research methods in all subfields. Experiments replicate at a significantly lower rate than do non-experimental studies. Third, we find that authors’ cumulative publication number and citation impact are positively related to the likelihood of replication, while other proxies of research quality and rigor, such as an author’s university prestige and a paper’s citations, are unrelated to replicability. Finally, contrary to the ideal that media attention should cover replicable research, we find that media attention is positively related to the likelihood of replication failure. Our assessments of the scale and scope of replicability are important next steps toward broadly resolving issues of replicability.",machine learning | psychology | replication | science of science,18.0,1.0,repositoryvor,Green,,undefined,,Applied Cognitive Science,
2-s2.0-85116837831,10.1177/2515245917747646,,,"Many analysts, one data set: Making transparent how variations in analytic choices affect results",ar,Article,Silberzahn R.,60278845;60278469;60171149;60170432;60138820;60122767;60116755;60112541;60104714;60104372;60103563;60078888;60031741;60030398;60029445;60028717;60027596;60025152;60025038;60024025;60022109;60021918;60021784;60021562;60020661;60020304;60017609;60017134;60017004;60015138;60014693;60014235;60012614;60011372;60010187;60010023;60008928;60007363;60006832;60003771;60002483;60001881;60000481;113987382,"School of Business;Xiamen University Malaysia;University of Sussex Business School;College of Biomedical and Life Sciences;Kellogg School of Management Northwestern University;College of Business;John Molson School of Business;Rotman School of Management;Institutet för social forskning;Linnaeus University, Kalmar;The University of Hong Kong Li Ka Shing Faculty of Medicine;INSEAD, Singapore;Westat, Inc.;Temple University;University of Minnesota Twin Cities;Ludwig-Maximilians-Universität München;The U.S. Military Academy at West Point;University of Cincinnati;University of California, Berkeley;Universität zu Köln;Queen Mary University of London;University of Virginia;New York University;Handelshögskolan i Stockholm;University of Liverpool;University of Maryland, College Park;Universidade Federal de Santa Catarina;Justus-Liebig-Universität Gießen;Prague University of Economics and Business;University of Nottingham;Loyola University Maryland;SUNY Oswego;Universität Zürich;Universität Bamberg;College of Staten Island;Rijksuniversiteit Groningen;The Hong Kong Polytechnic University;Northwestern University;Brigham Young University;The University of Manchester;Universiteit van Amsterdam;The University of Sheffield;Università degli Studi di Padova;Center for Open Science",Bothell;Sepang;Brighton;Cardiff;Evanston;Corvallis;Montreal;Toronto;Stockholm;Kalmar;Hong Kong;Singapore City;Rockville;Philadelphia;Minneapolis;Munich;West Point;Cincinnati;Berkeley;Koln;London;Charlottesville;New York;Stockholm;Liverpool;College Park;Florianopolis;Giessen;Prague;Nottingham;Baltimore;Oswego;Zurich;Bamberg;New York;Groningen;Hong Kong;Evanston;Provo;Manchester;Amsterdam;Sheffield;Padua;Charlottesville,United States;Malaysia;United Kingdom;United Kingdom;United States;United States;Canada;Canada;Sweden;Sweden;Hong Kong;Singapore;United States;United States;United States;Germany;United States;United States;United States;Germany;United Kingdom;United States;United States;Sweden;United Kingdom;United States;Brazil;Germany;Czech Republic;United Kingdom;United States;United States;Switzerland;Germany;United States;Netherlands;Hong Kong;United States;United States;United Kingdom;Netherlands;United Kingdom;Italy;United States,65,"Silberzahn, R.;Uhlmann, E. L.;Martin, D. P.;Anselmi, P.;Aust, F.;Awtrey, E.;Bahník, ;Bai, F.;Bannard, C.;Bonnier, E.;Carlsson, R.;Cheung, F.;Christensen, G.;Clay, R.;Craig, M. A.;Rosa, A. Dalla;Dam, L.;Evans, M. H.;Cervantes, I. Flores;Fong, N.;Gamez-Djokic, M.;Glenz, A.;Gordon-Mckeon, S.;Heaton, T. J.;Hederos, K.;Heene, M.;Hofelich Mohr, A. J.;Högden, F.;Hui, K.;Johannesson, M.;Kalodimos, J.;Kaszubowski, E.;Kennedy, D. M.;Lei, R.;Lindsay, T. A.;Liverani, S.;Madan, C. R.;Molden, D.;Molleman, E.;Morey, R. D.;Mulder, L. B.;Nijstad, B. R.;Pope, N. G.;Pope, B.;Prenoveau, J. M.;Rink, F.;Robusto, E.;Roderique, H.;Sandberg, A.;Schlüter, E.;Schönbrodt, F. D.;Sherman, M. F.;Sommer, S. A.;Sotak, K.;Spain, S.;Spörlein, C.;Stafford, T.;Stefanutti, L.;Tauber, S.;Ullrich, J.;Vianello, M.;Wagenmakers, E. J.;Witkowiak, M.;Yoon, S.;Nosek, B. A.",35732472500;7006700753;56857025400;36957013000;54580538100;57190075379;55199822700;56372401200;23967985200;57207970347;37119946100;56183529500;55863443600;54784192600;37107583800;57205101338;17343415700;55727624500;42861017300;57337497800;57190074318;55759422600;55504034100;36023751800;57193495399;35147940400;57189235144;56560143900;57201895308;57219908734;57192925774;24741064200;36537251700;56448359700;57225445264;25228872600;35759289000;6701875939;55996143500;8934245000;59021431900;57291131800;56517840800;56517674400;15049896700;57219249131;23019573400;57289912000;57193503244;57290267800;33568239700;7402148189;56489833200;55936180200;26026663600;55855841400;55118192600;55881118800;36702083700;16475186000;57192184601;6602132134;57290420500;57970290800;6602443500,60171149;60078888;60021918;60000481;60024025;60025152;60017004;60008928;60020661;60021562;60104372;60103563;60025038;60010187;60021784;60000481;60010023;60003771;60031741;60030398;60138820;60012614;;60001881;60104714;60028717;60029445;60024025;60278469;60021562;60122767;60017609;60278845;60021784;60029445;60022109;60015138;60007363;60010023;60170432;60010023;60010023;60020304;60006832;60014693;60010023;60000481;60112541;60104714;60017134;60028717;60014693;60027596;60014235;60116755;60011372;60001881;60000481;60010023;60012614;60000481;60002483;;60030398;60021918-113987382,2018-01-01,2018,Advances in Methods and Practices in Psychological Science,25152459,21101046404,25152467,Journal,1,3,,337-356,"Twenty-nine teams involving 61 analysts used the same data set to address the same research question: whether soccer referees are more likely to give red cards to dark-skin-toned players than to light-skin-toned players. Analytic approaches varied widely across the teams, and the estimated effect sizes ranged from 0.89 to 2.93 (Mdn = 1.31) in odds-ratio units. Twenty teams (69%) found a statistically significant positive effect, and 9 teams (31%) did not observe a significant relationship. Overall, the 29 different analyses used 21 unique combinations of covariates. Neither analysts’ prior beliefs about the effect of interest nor their level of expertise readily explained the variation in the outcomes of the analyses. Peer ratings of the quality of the analyses also did not account for the variability. These findings suggest that significant variation in the results of analyses of complex data may be difficult to avoid, even by experts with honest intentions. Crowdsourcing data analysis, a strategy in which numerous research teams are recruited to simultaneously investigate the same research question, makes transparent how defensible, yet subjective, analytic choices influence research results.",Crowdsourcing science | Data analysis | Open data | Open materials | Scientific transparency,390.0,1.0,publisherhybridgold,Hybrid Gold,ED,P2015-0001:1,U.S. Department of Education,Applied Cognitive Science,
2-s2.0-85098669977,10.1017/S0140525X20001685,S0140525X20001685,33342451,The generalizability crisis,ar,Article,Yarkoni T.,60013372,The University of Texas at Austin,Austin,United States,1,"Yarkoni, Tal",8317752200,60013372,2022-12-21,21 December 2022,Behavioral and Brain Sciences,0140525X,12108,14691825,Journal,45,,e1,,"Most theories and hypotheses in psychology are verbal in nature, yet their evaluation overwhelmingly relies on inferential statistical procedures. The validity of the move from qualitative to quantitative analysis depends on the verbal and statistical expressions of a hypothesis being closely aligned - that is, that the two must refer to roughly the same set of hypothetical observations. Here, I argue that many applications of statistical inference in psychology fail to meet this basic condition. Focusing on the most widely used class of model in psychology - the linear mixed model - I explore the consequences of failing to statistically operationalize verbal hypotheses in a way that respects researchers' actual generalization intentions. I demonstrate that although the random effect formalism is used pervasively in psychology to model intersubject variability, few researchers accord the same treatment to other variables they clearly intend to generalize over (e.g., stimuli, tasks, or research sites). The under-specification of random effects imposes far stronger constraints on the generalizability of results than most researchers appreciate. Ignoring these constraints can dramatically inflate false-positive rates, and often leads researchers to draw sweeping verbal generalizations that lack a meaningful connection to the statistical quantities they are putatively based on. I argue that failure to take the alignment between verbal and statistical expressions seriously lies at the heart of many of psychology's ongoing problems (e.g., the replication crisis), and conclude with a discussion of several potential avenues for improvement.",Generalization | inference | philosophy of science | psychology | random effects | statistics,295.0,0.0,repositoryam,Green,NSF,PRMRP 12902164,National Science Foundation,Applied Cognitive Science,
2-s2.0-85115679144,10.1177/25152459211026864,,,Putting Psychology to the Test: Rethinking Model Evaluation Through Benchmarking and Prediction,ar,Article,Rocca R.,60029616;60013372,Aarhus Universitet;The University of Texas at Austin,Aarhus;Austin,Denmark;United States,2,"Rocca, Roberta;Yarkoni, Tal",57204612761;8317752200,60013372-60029616;60013372,2021-01-01,2021,Advances in Methods and Practices in Psychological Science,25152459,21101046404,25152467,Journal,4,3,,,"Consensus on standards for evaluating models and theories is an integral part of every science. Nonetheless, in psychology, relatively little focus has been placed on defining reliable communal metrics to assess model performance. Evaluation practices are often idiosyncratic and are affected by a number of shortcomings (e.g., failure to assess models’ ability to generalize to unseen data) that make it difficult to discriminate between good and bad models. Drawing inspiration from fields such as machine learning and statistical genetics, we argue in favor of introducing common benchmarks as a means of overcoming the lack of reliable model evaluation criteria currently observed in psychology. We discuss a number of principles benchmarks should satisfy to achieve maximal utility, identify concrete steps the community could take to promote the development of such benchmarks, and address a number of potential pitfalls and concerns that may arise in the course of implementation. We argue that reaching consensus on common evaluation benchmarks will foster cumulative progress in psychology and encourage researchers to place heavier emphasis on the practical utility of scientific models.",benchmarking | machine learning | model evaluation | open data | open materials | psychology,22.0,1.0,repositoryam,Green,NIH,R01MH096906,National Institutes of Health,Applied Cognitive Science,
2-s2.0-0019199513,10.1017/S0140525X00005756,,,"Minds, brains, and programs",ar,Article,Searle J.,60025038,"University of California, Berkeley",Berkeley,United States,1,"Searle, John R.",7102976934,60025038,1980-01-01,September 1980,Behavioral and Brain Sciences,0140525X,12108,14691825,Journal,3,3,,417-424,"This article can be viewed as an attempt to explore the consequences of two propositions. (1) Intentionality in human beings (and animals) is a product of causal features of the brain. I assume this is an empirical fact about the actual causal relations between mental processes and brains. It says simply that certain brain processes are sufficient for intentionality. (2) Instantiating a computer program is never by itself a sufficient condition of intentionality. The main argument of this paper is directed at establishing this claim. The form of the argument is to show how a human agent could instantiate the program and still not have the relevant intentionality. These two propositions have the following consequences: (3) The explanation of how the brain produces intentionality cannot be that it does it by instantiating a computer program. This is a strict logical consequence of 1 and 2. (4) Any mechanism capable of producing intentionality must have causal powers equal to those of the brain. This is meant to be a trivial consequence of 1. (5) Any attempt literally to create intentionality artificially (strong AI) could not succeed just by designing programs but would have to duplicate the causal powers of the human brain. This follows from 2 and 4. “Could a machine think?” On the argument advanced here only a machine could think, and only very special kinds of machines, namely brains and machines with internal causal powers equivalent to those of brains. And that is why strong AI has little to tell us about thinking, since it is not about machines but about programs, and no program by itself is sufficient for thinking. © 1980, Cambridge University Press. All rights reserved.",artificial intelligence | brain | intentionality | mind,3210.0,0.0,repositoryam,Green,,undefined,,Philosophy of Cognitive Science,
2-s2.0-79952093573,10.1037/a0021524,S0022351411600277,21280961,Feeling the Future: Experimental Evidence for Anomalous Retroactive Influences on Cognition and Affect,ar,Article,Bem D.,60007776,Cornell University,Ithaca,United States,1,"Bem, Daryl J.",7005578218,60007776,2011-03-01,March 2011,Journal of Personality and Social Psychology,00223514,30039,,Journal,100,3,,407-425,"The term psi denotes anomalous processes of information or energy transfer that are currently unexplained in terms of known physical or biological mechanisms. Two variants of psi are precognition (conscious cognitive awareness) and premonition (affective apprehension) of a future event that could not otherwise be anticipated through any known inferential process. Precognition and premonition are themselves special cases of a more general phenomenon: the anomalous retroactive influence of some future event on an individual's current responses, whether those responses are conscious or nonconscious, cognitive or affective. This article reports 9 experiments, involving more than 1,000 participants, that test for retroactive influence by "" time-reversing"" well-established psychological effects so that the individual's responses are obtained before the putatively causal stimulus events occur. Data are presented for 4 time-reversed effects: precognitive approach to erotic stimuli and precognitive avoidance of negative stimuli; retroactive priming; retroactive habituation; and retroactive facilitation of recall. The mean effect size (d) in psi performance across all 9 experiments was 0.22, and all but one of the experiments yielded statistically significant results. The individual-difference variable of stimulus seeking, a component of extraversion, was significantly correlated with psi performance in 5 of the experiments, with participants who scored above the midpoint on a scale of stimulus seeking achieving a mean effect size of 0.43. Skepticism about psi, issues of replication, and theories of psi are also discussed. © 2011 American Psychological Association.",ESP | Parapsychology | Precognition | Psi | Retrocausation,561.0,0.0,,,,undefined,,Philosophy of Cognitive Science,
2-s2.0-33747873670,10.1016/j.tics.2006.07.011,S1364661306001902,16901745,Neuroscientific challenges to free will and responsibility,ar,Article,Roskies A.,60010756,Dartmouth College,Hanover,United States,1,"Roskies, Adina",6602575637,60010756,2006-09-01,September 2006,Trends in Cognitive Sciences,13646613,15359,,Journal,10,9,,419-423,"Recent developments in neuroscience raise the worry that understanding how brains cause behavior will undermine our views about free will and, consequently, about moral responsibility. The potential ethical consequences of such a result are sweeping. I provide three reasons to think that these worries seemingly inspired by neuroscience are misplaced. First, problems for common-sense notions of freedom exist independently of neuroscientific advances. Second, neuroscience is not in a position to undermine our intuitive notions. Third, recent empirical studies suggest that even if people do misconstrue neuroscientific results as relevant to our notion of freedom, our judgments of moral responsibility will remain largely unaffected. These considerations suggest that neuroethical concerns about challenges to our conception of freedom are misguided. © 2006 Elsevier Ltd. All rights reserved.",,165.0,0.0,,,,undefined,,Philosophy of Cognitive Science,
2-s2.0-0035860542,10.1126/science.1062872,,11557895,An fMRI investigation of emotional engagement in moral judgment,ar,Article,Greene J.,101307276,Behavior,Pittsburgh,United States,5,"Greene, J. D.;Sommerville, R. B.;Nystrom, L. E.;Darley, J. M.;Cohen, J. D.",7402743821;36647970400;7102432993;7006014752;54992680400,101307276;101307276;101307276;101307276;101307276,2001-09-14,14 September 2001,Science,00368075,23571,,Journal,293,5537,,2105-2108,"The long-standing rationalist tradition in moral psychology emphasizes the role of reason in moral judgment. A more recent trend places increased emphasis on emotion. Although both reason and emotion are likely to play important roles in moral judgment, relatively little is known about their neural correlates, the nature of their interaction, and the factors that modulate their respective behavioral influences in the context of moral judgment. In two functional magnetic resonance imaging (fMRI) studies using moral dilemmas as probes, we apply the methods of cognitive neuroscience to the study of moral judgment. We argue that moral dilemmas vary systematically in the extent to which they engage emotional processing and that these variations in emotional engagement influence moral judgment These results may shed light on some puzzling patterns in moral judgment observed by contemporary philosophers.",,3156.0,0.0,,,,undefined,,Philosophy of Cognitive Science,
2-s2.0-36048990157,10.1007/s10892-005-3508-y,,,Ethics and intuitions,cp,Conference Paper,Singer P.,60026553;60003269,University of Melbourne;Princeton University,Melbourne;Princeton,Australia;United States,1,"Singer, Peter",57210476561,60003269-60026553,2005-10-01,October 2005,Journal of Ethics,13824554,24784,15728609,Journal,9,3-4,,331-352,"For millennia, philosophers have speculated about the origins of ethics. Recent research in evolutionary psychology and the neurosciences has shed light on that question. But this research also has normative significance. A standard way of arguing against a normative ethical theory is to show that in some circumstances the theory leads to judgments that are contrary to our common moral intuitions. If, however, these moral intuitions are the biological residue of our evolutionary history, it is not clear why we should regard them as having any normative force. Research in the neurosciences should therefore lead us to reconsider the role of intuitions in normative ethics. © Springer 2005.",Brain imaging | David Hume | Ethics | Evolutionary psychology | Henry Sidgwick | Immanuel Kant | Intuitions | James Rachels | John Rawls | Jonathan Haidt | Joshua D. Greene | Neuroscience | Trolley problem | Utilitarianism,418.0,0.0,,,,undefined,,Philosophy of Cognitive Science,
2-s2.0-77954132290,10.1080/09515089.2010.490939,,,Intuitions about personal identity: An empirical study,ar,Article,Nichols S.,60015036;60010065,"Lewis &amp; Clark College, Portland;The University of Arizona",Portland;Tucson,United States;United States,2,"Nichols, Shaun;Bruno, Michael",7102291261;35184831700,60010065;60015036,2010-06-01,June 2010,Philosophical Psychology,09515089,12824,1465394X,Journal,23,3,,293-312,"Williams (1970) argues that our intuitions about personal identity vary depending on how a given thought experiment is framed. Some frames lead us to think that persistence of self requires persistence of one's psychological characteristics; other frames lead us to think that the self persists even after the loss of one's distinctive psychological characteristics. The current paper takes an empirical approach to these issues. We find that framing does affect whether or not people judge that persistence of psychological characteristics is required for persistence of self. Open-ended, abstract questions about what is required for survival tend to elicit responses that appeal to the importance of psychological characteristics. This emphasis on psychological characteristics is largely preserved even when participants are exposed to a concrete case that yields conflicting intuitions over whether memory must be preserved in order for a person to persist. Insofar as our philosophical theory of personal identity should be based on our intuitions, the results provide some support for the view that psychological characteristics really are critical for persistence of self. © 2010 Taylor & Francis.",Abstract/Concrete | Intuitions | Personal Identity | Self,87.0,0.0,,,,undefined,,Philosophy of Cognitive Science,
2-s2.0-85135806034,10.1007/s10670-022-00560-8,,,Ancestor simulations and the Dangers of Simulation Probes,no,Note,Braddon-Mitchell D.,60029616;60025709,Aarhus Universitet;The University of Sydney,Aarhus;Sydney,Denmark;Australia,2,"Braddon-Mitchell, David;Latham, Andrew J.",22833593400;55890011600,60025709;60025709-60029616,2024-03-01,March 2024,Erkenntnis,01650106,4700152618,15728420,Journal,89,3,,1257-1267,"Preston Greene (2020) argues that we should not conduct simulation investigations because of the risk that wemight be terminated if our world is a simulation designed to research various counterfactuals about the world of the simulators. In response, we propose a sequence of arguments, most of which have the form of an ""even if? response to anyone unmoved by our previous arguments. It runs thus: (i) if simulation is possible, then simulators are as likely to care about simulating simulations as they are likely to care about simulating basement (i.e. nonsimulated) worlds. But (ii) even if simulations are interested only in simulating basement worlds the discovery that we are in a simulation will have little or no impact on the evolution of ordinary events. But (iii) even if discovering that we are in a simulation impacts the evolution of ordinary events, the effects of seeming to do so could also happen in a basement world, and might be the subject of interesting counterfactuals in the basement world. Finally, (iv) there is little reason to think that there is a catastrophic effect from successful simulation probes, and no argument from the precautionary principle can be used to leverage the negligible credence one ought have in this. Thus, if we do develop a simulation probe, then let?s do it.",,0.0,1.0,publisherhybridgold,Hybrid Gold,ACMM,undefined,"Australian Centre for Microscopy and Microanalysis, University of Sydney",Philosophy of Cognitive Science,
2-s2.0-79953218067,10.1073/pnas.1101765108,,21383191,Elephants know when they need a helping trunk in a cooperative task,ar,Article,Plotnik J.M.,60119742;60025862;60000928,School of the Biological Sciences;Thailand Forest Industry Organization;Emory University,Cambridge;Lampang;Atlanta,United Kingdom;Thailand;United States,4,"Plotnik, Joshua M.;Lair, Richard;Suphachoksahakun, Wirot;De Waal, Frans B.M.",6506017609;6508009057;37062174500;7006497218,60000928-60119742;60025862;60025862;60000928,2011-03-22,22 March 2011,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,10916490,Journal,108,12,,5116-5121,"Elephants are widely assumed to be among the most cognitively advanced animals, even though systematic evidence is lacking. This void in knowledge is mainly due to the danger and difficulty of submitting the largest land animal to behavioral experiments. In an attempt to change this situation, a classical 1930s cooperation paradigm commonly tested on monkeys and apes was modified by using a procedure originally designed for chimpanzees (Pan troglodytes) to measure the reactions of Asian elephants (Elephas maximus). This paradigm explores the cognition underlying coordination toward a shared goal. What do animals know or learn about the benefits of cooperation? Can they learn critical elements of a partner's role in cooperation? Whereas observations in nature suggest such understanding in nonhuman primates, experimental results have been mixed, and little evidence exists with regards to nonprimates. Here, we show that elephants can learn to coordinate with a partner in a task requiring two individuals to simultaneously pull two ends of the same rope to obtain a reward. Not only did the elephants act together, they inhibited the pulling response for up to 45 s if the arrival of a partner was delayed. They also grasped that there was no point to pulling if the partner lacked access to the rope. Such results have been interpreted as demonstrating an understanding of cooperation. Through convergent evolution, elephants may have reached a cooperative skill level on a par with that of chimpanzees.",Animal behavior | Comparative cognition | Problem solving,168.0,0.0,repositoryvor,Green,,undefined,,Philosophy of Cognitive Science,
,10.2307/2786545,,,An Experimental Study of the Small World Problem,,,Travers J.,,,,,,,,,,,,,,,,,,,,"Arbitrarily selected individuals (N=296) in Nebraska and Boston are asked to generate acquaintance chains to a target person in Massachusetts, employing ""the small world method"" (Milgram, 1967). Sixty-four chains reach the target person. Within this group the mean number of intermediaries between starters and targets is 5.2. Boston starting chains reach the target person with fewer intermediaries than those starting in Nebraska; subpopulations in the Nebraska group do not differ among themselves. The funneling of chains through sociometric ""stars"" is noted, with 48 per cent of the chains passing through three persons before reaching the target. Applications of the method to studies of large scale social structure are discussed.",,,,,,,,,Social and Cultural dynamics,
,10.1086/jar.33.4.3629752,,,An Information Flow Model for Conflict and Fission in Small Groups,,,Zachary W.,,,,,,,,,,,,,,,,,,,,"Data from a voluntary association are used to construct a new formal model for a traditional anthropological problem, fission in small groups. The process leading to fission is viewed as an unequal flow of sentiments and information across the ties in a social network. This flow is unequal because it is uniquely constrained by the contextual range and sensitivity of each relationship in the network. The subsequent differential sharing of sentiments leads to the formation of subgroups with more internal stability than the group as a whole, and results in fission. The Ford-Fulkerson labeling algorithm allows an accurate prediction of membership in the subgroups and of the locus of the fission to be made from measurements of the potential for information flow across each edge in the network. Methods for measurement of potential information flow are discussed, and it is shown that all appropriate techniques will generate the same predictions.",,,,,,,,,Social and Cultural dynamics,
